Tier	Effect Name	Categories	Description	Extra Component	Legendary Modules	Unlocked	Notes
1 Star	Adrenal	Armor • Power Armor • Weapon: Ranged • Weapon: Melee	[Weapon] +10% damage per kill while on a Kill Streak. [Armor] +10 Damage and Energy Resistance per kill while on a Kill Streak (Max 10).	1 Adrenal Reaction Serum	15	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
1 Star	Chameleon	Armor • Power Armor	Become invisible while sneaking and not moving.	1 Chameleon Serum	15	No	
1 Star	Feral's	Weapon: Melee	[Ghoul] Target kills make you go feral faster.	5 Black Titanium	15	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
1 Star	Life Saving	Armor	When incapacitated, gain a 50% chance to revive yourself with a Stimpak, once every 60 seconds.	5 Stimpak	15	No	
1 Star	Lucid	Armor • Power Armor • Weapon: Ranged • Weapon: Melee	[Ghoul] [Armor] Damage reduction up to +6% as you fill Feral meter. [Weapon] Damage increases up to +40% as you fill Feral meter.	1 Bobblehead: Medicine	15	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
1 Star	Sniper's	Weapon: Ranged	100% damage to distant targets.	1 Bobblehead: Perception	15	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
1 Star	Stalker's	Weapon: Ranged	+100% sneak attack damage.	1 Calmex	15	No	
1 Star	Unyielding	Armor	Gain up to +3 to all S.P.E.C.I.A.L. (except END) when Health is low.	5 X-Cell	15	No	
1 Star	Heavyweight	Armor	-90% weight and does not count as armor for the Chameleon Mutation.	1 Bird Bones Serum	15	No	
2 Star	Agility	Armor • Power Armor	+2 Agility.	1 Bobblehead: Agility	30	No	
2 Star	Elementalist	Armor • Power Armor	Increase all resistances by 5.	1 Bobblehead: Endurance	30	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
2 Star	Fierce	Armor • Power Armor	Fortify limb resistance based on Kill Streak count (1% per kill).	1 Bobblehead: Strength	30	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
2 Star	Fireproof	Armor • Power Armor	+25 Fire Resistance.	10 Floater Flamer Pus Sac	30	No	
2 Star	Glutton	Armor • Power Armor	Hunger and Thirst grow 10% slower.	1 Perfect Bubblegum	30	No	
2 Star	Pain Killer	Armor • Power Armor	Gain Health over time while on a Kill Streak; stronger with higher streak.	1 Bobblehead: Medicine	30	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
2 Star	Perception	Armor • Power Armor	+2 Perception.	1 Bobblehead: Perception	30	No	
2 Star	Pick Pocketer's	Weapon: Melee	Target kills have 50% chance to grant 1–4 Caps.	1 Bobblehead: Caps	30	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
2 Star	Poisoner's	Armor • Power Armor	+25 Poison Resistance.	10 Floater Gnasher Puc Sac	30	No	
