Effect Name	Categories	Description	Extra Component	Legendary Modules	Unlocked	Notes				
Aegis	Power Armor	Fortifies Physical & Energy Resists by +50 and Poison/Cryo/Fire Resists by +20 for wearer & teammates within 50ft.	5 Circuitry	120	Yes	RAID: Gleaming Depths (Stage 3 only)		Tier Progress		
Battle-Loader's	Armor • Power Armor	15% chance to instantly reload when bashing (up to 75% on full stack).	1 Talons Serum	120	No	RAID: Gleaming Depths (Stage 2 only)		Unlocked	18	
Bruiser's	Armor • Power Armor	Melee weapons deal +5% bonus damage (up to +25% on full stack).	1 Bufftats	120	No	RAID: Gleaming Depths (Stage 4 only)		Total	32	
Bully's	Weapon: Ranged • Weapon: Melee	+25% damage per crippled limb the target has.	1 Buffout	120	Yes	RAID: Gleaming Depths (Stage 1 only)		% Complete	56.3%	
Charged	Weapon: Melee	Light attacks build up charge released with heavy attack (max charges 3).	3 Fusion Core	120	Yes	RAID: Gleaming Depths (Stage 3 only)				
Choo-Choo's	Power Armor	10% chance for 500 damage & Bloody Mess when sprinting into targets (up to 50% on full stack).	15 Cannonballs	120	Yes	RAID: Gleaming Depths (Stage 3 only)		Weapons	Weapons Unlocked	10
Combo-Breaker's	Weapon: Melee	When dealing damage, 50% chance to not use AP (10% chance for auto melee).	1 Day Tripper	120	No	RAID: Gleaming Depths (Stage 3 only)		Armor	Armor Unlocked	8
Conductor's	Weapon: Ranged • Weapon: Melee	Critical hits restore 10 Health & AP instantly and 100 more over 5s for you & teammates within 100ft.	5 Pure Crimson Flux	120	Yes	RAID: Gleaming Depths (Stage 3 only)		Power Armor	Power Armor Unlocked	8
Electrician's	Weapon: Ranged	When reloading, emit a shock wave that stuns nearby targets for 3s.	1 Bobblehead: Energy Weapons	120	Yes	RAID: Gleaming Depths (Stage 2 only)			Power Armor Locked	8
Encircler's	Weapon: Ranged • Weapon: Melee	+10% damage for each combat target around you (up to +50%).	1 Overdrive	120	Yes	RAID: Gleaming Depths (Stage 4 only)				
Fencer's	Weapon: Melee	+12.5% melee damage; +12.5% per nearby teammate (up to +50% on full team).	1 Bobblehead: Melee	120	No	RAID: Gleaming Depths (Stage 2 only)				
Fracturer's	Weapon: Ranged • Weapon: Melee	When crippling limbs, they explode and deal up to 50 explosion damage to nearby targets.	25 Gunpowder	120	Yes	RAID: Gleaming Depths (Stage 1 only)				
Icemen's	Weapon: Melee	Applies Cryo on hit that slows targets when dealing damage in V.A.T.S.	5 Pure Fluorescent Flux	120	No	RAID: Gleaming Depths (Stage 4 only)				
