Tier	Effect Name	Categories	Description	Extra Component	Legendary Modules	Unlocked	Notes			
1 Star	Adrenal	Armor • Power Armor • Weapon: Ranged • Weapon: Melee	[Weapon] +10% damage per kill while on a Kill Streak. [Armor] +10 Damage and Energy Resistance per kill while on a Kill Streak (Max 10).	1 Adrenal Reaction Serum	15	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt		Overall Progress	
1 Star	Feral's	Weapon: Melee	[Ghoul] Target kills make you go feral faster.	5 Black Titanium	15	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
1 Star	Life Saving	Armor	When incapacitated, gain a 50% chance to revive yourself with a Stimpak, once every 60 seconds.	5 Stimpak	15	No				
1 Star	Lucid	Armor • Power Armor • Weapon: Ranged • Weapon: Melee	[Ghoul] [Armor] Damage reduction up to +6% as you fill Feral meter. [Weapon] Damage increases up to +40% as you fill Feral meter.	1 Bobblehead: Medicine	15	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
1 Star	Sniper's	Weapon: Ranged	100% damage to distant targets.	1 Bobblehead: Perception	15	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
1 Star	Stalker's	Weapon: Ranged	+100% sneak attack damage.	1 Calmex	15	No				
1 Star	Unyielding	Armor	Gain up to +3 to all S.P.E.C.I.A.L. (except END) when Health is low.	5 X-Cell	15	No				
2 Star	Agility	Armor • Power Armor	+2 Agility.	1 Bobblehead: Agility	30	No				
2 Star	Elementalist	Armor • Power Armor	Increase all resistances by 5.	1 Bobblehead: Endurance	30	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
2 Star	Fierce	Armor • Power Armor	Fortify limb resistance based on Kill Streak count (1% per kill).	1 Bobblehead: Strength	30	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
2 Star	Fireproof	Armor • Power Armor	+25 Fire Resistance.	10 Floater Flamer Puc Sac	30	No				
2 Star	Pain Killer	Armor • Power Armor	Gain Health over time while on a Kill Streak; stronger with higher streak.	1 Bobblehead: Medicine	30	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
2 Star	Perception	Armor • Power Armor	+2 Perception.	1 Bobblehead: Perception	30	No				
2 Star	Pick Pocketer's	Weapon: Melee	Target kills have 50% chance to grant 1–4 Caps.	1 Bobblehead: Caps	30	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
2 Star	Poisoner's	Armor • Power Armor	+25 Poison Resistance.	10 Floater Gnasher Puc Sac	30	No				
2 Star	Rushing	Armor • Power Armor	Gain Action Points over time while on a Kill Streak; stronger with higher streak.	1 Bobblehead: Agility	30	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
3 Star	Acrobat's	Armor	-50% fall damage.	1 Marsupial Serum	60	No				
3 Star	Active	Armor • Power Armor	Max AP increased by +20.	1 Bobblehead: Agility	60	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
3 Star	Adamantium	Armor	Receive 15% less limb damage.	1 Twisted Muscles Serum	60	No				
3 Star	Barbarian	Weapon: Melee	+1 STR per kill while on a Kill Streak (max 10).	1 Bobblehead: Melee	60	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
3 Star	Blocker	Weapon: Melee	+15% more damage blocked.	10 Oil	60	No				
3 Star	Diver's	Armor	Breathe underwater.	15 Plastic	60	No				
3 Star	Doctor's	Armor • Power Armor	+5% effectiveness of Stimpaks, RadAway, and Rad-X.	1 Stimpak: Super	60	No				
3 Star	Glowing	Weapon: Ranged • Weapon: Melee	[Ghoul] Target kills increase Glow by a small amount. [Human] Target kills increase Rads by a small amount (20 RADs).	1 Bobblehead: Science	60	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
3 Star	Healthy	Armor • Power Armor	Max HP increased by +20.	1 Bobblehead: Endurance	60	No	Burning Springs • Bounties • Bounty Hunting: Head Hunt & Grunt Hunt			
3 Star	Luck	Weapon: Ranged • Weapon: Melee	+3 Luck.	1 Bobblehead: Luck	60	No				
3 Star	Nimble	Weapon: Ranged	+100% faster movement speed while aiming.	25 Springs	60	No				
3 Star	Secret Agent's	Armor	+25% less noise while sneaking +25% reduce detection chance.	1 Bobblehead: Sneak	60	No				
3 Star	Sentinel's	Armor • Power Armor	-5% damage taken while not moving.	1 Scaly Skin Serum	60	No				
4 Star	Battle-Loader's	Armor • Power Armor	Gives you a 15% chance to instantly reload when bashing enemies (stacks up to 75%).	1 Talons Serum	120	No	RAID: Gleaming Depths (only Stage 2) • Bigfoot			
4 Star	Bruiser's	Armor • Power Armor	Melee weapons deal +5% bonus damage (up to +25% on full stack).	1 Bufftats	120	No	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Fencer's	Weapon: Melee	+12.5% melee damage; +12.5% per nearby teammate (up to +50% on full team).	1 Bobblehead: Melee	120	No	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Hauler's	Armor • Power Armor	Increases Carrying Capacity by 30.	5 Cloth	120	No	Infestations			
4 Star	Icemen's	Weapon: Melee	Applies cryo on hit that slows targets when dealing damage in V.A.T.S.	5 Pure Fluorescent Flux	120	No	RAID: Gleaming Depths (only Stage 4) • Bigfoot			
4 Star	Miasma's	Armor • Power Armor	When hit, a poisonous DoT cloud harms nearby targets for 10s (damage increases per equipped piece).	1 Plague Walker Serum	120	No	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Polished	Weapon: Ranged • Weapon: Melee	Weapon damage increases the higher the item condition is (up to +60% damage).	1 Improved Repair Kit	120	No	RAID: Gleaming Depths (only Stage 4) • Bigfoot			
4 Star	Propelling	Power Armor	Increases movement and sprint speed (+5% up to +25% on full stack).	15 Vault Steel Scrap	120	No	RAID: Gleaming Depths (only Stage 5) • Bigfoot			
4 Star	Raging	Armor • Power Armor	Upon being hit, deal +3% Damage for 10 seconds.	1 Buffout	120	No	Infestations			
4 Star	Reflective	Power Armor	Return 10% of damage received back toward enemy target (up to 50% on full stack).	1 Bobblehead: Science	120	No	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Rejuvenator's	Power Armor	Gradually restores wearer's & teammates Health & AP within 50ft.	5 Stimpak Diffuser	120	No	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Satiated	Weapon: Ranged • Weapon: Melee	[Human] Kills Restore Hunger and Thirst. [Ghoul] Kills Restore Feral	5 Salt	120	No	Infestations			
4 Star	Sawbones's	Armor • Power Armor	Health regenerates slowly (+1 Health/s; up to +5 Health/s on full stack).	1 Healing Factor Serum	120	No	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Scanner's	Power Armor	V.A.T.S. attack AP cost reduced by -5% (up to -25% on full stack).	1 X-Cell	120	No	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Stabilizer's	Weapon: Ranged	Improves Weapon Recoil & Stability by 50%.	25 Rubber	120	No	RAID: Gleaming Depths (only Stage 2) • Bigfoot			
4 Star	Tarnished	Weapon: Ranged • Weapon: Melee	Damage Increases (up to +120%) as Weapon Durability Decreases.	5 Fiberglass	120	No	Infestations			
4 Star	Thrill-Seeker's	Weapon: Ranged • Weapon: Melee	Reload Speed & Melee Attack Speed increases based on Killstreak Count (2% per Kill).	1x Adrenal Reaction Serum	120	No	Bigfoot			
4 Star	Vector	Armor • Power Armor	Gain 10% Bonus V.A.T.S. Accuracy Against Distant Targets	1 Magnifying Glass	120	No	Infestations			
